"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
61,2,3,2,2,4,4,4,4,4
75,2,3,2,2,2,1,3,2,2
40,5,2,3,1,2,2,1,2,1
44,4,3,2,2,1,1,2,2,3
106,4,3,2,2,2,1,3,2,1
44,4,3,2,2,2,2,2,2,2
95,4,3,2,2,2,2,2,2,2
2,4,3,2,2,2,1,3,2,2
60,4,3,2,2,3,2,3,2,2
34,2,4,1,2,4,4,4,2,2
87,6,3,2,2,2,2,3,2,3
87,6,3,2,2,1,1,4,2,3
65,6,3,2,2,2,1,2,2,1
65,6,3,2,2,2,1,3,1,1
86,6,3,2,2,4,4,4,4,4
86,6,3,2,2,3,4,3,4,2
64,6,3,2,2,1,2,3,3,2
101,6,3,2,2,2,1,2,2,2
40,5,1,1,2,2,3,2,3,3
102,5,1,1,2,2,1,2,3,1
119,5,1,1,2,1,2,3,2,3
8,5,1,1,2,2,2,1,2,1
72,5,1,1,2,3,2,1,1,1
8,5,1,1,2,2,1,2,2,1
8,5,1,1,2,1,1,1,1,1
102,5,1,1,2,2,2,1,2,1
42,5,1,1,2,2,2,2,1,1
8,5,1,1,2,4,4,4,4,4
8,5,1,1,2,2,1,2,3,2
4,5,1,1,2,1,1,2,2,2
40,5,1,1,2,1,1,2,2,2
100,2,1,2,2,4,4,4,2,3
121,2,1,2,2,3,1,3,2,3
75,2,1,2,2,1,1,2,2,1
36,2,1,2,2,2,1,1,2,1
100,2,1,2,2,2,1,1,1,2
7,4,4,1,2,1,1,2,2,1
118,4,4,1,2,2,4,2,2,2
27,4,1,2,2,3,2,2,3,1
95,4,1,2,2,1,1,3,3,1
27,4,1,2,2,1,1,1,2,1
118,4,1,2,2,1,1,3,2,1
5,4,1,2,2,2,2,2,3,1
95,4,1,2,2,1,1,1,1,2
60,4,1,2,2,3,1,2,3,2
2,4,1,2,2,3,3,3,3,2
86,6,4,1,2,2,2,1,1,1
89,6,4,1,2,2,1,2,1,1
125,6,4,1,2,2,2,2,1,1
65,6,4,1,2,1,1,3,1,1
101,6,4,1,2,2,2,3,2,1
57,6,4,1,2,3,3,3,2,2
120,3,2,1,1,3,3,1,3,1
111,3,2,1,1,1,1,1,2,1
6,3,2,1,1,1,2,1,1,1
125,6,1,2,2,4,3,3,3,3
86,6,1,2,2,1,1,1,3,1
125,6,1,2,2,2,1,4,4,4
87,6,1,2,2,4,4,4,2,4
86,6,1,2,2,2,2,2,3,2
123,6,1,2,2,2,1,4,2,2
86,6,1,2,2,2,2,2,2,2
83,1,2,1,1,1,2,2,2,1
49,1,2,1,1,2,1,2,2,1
132,1,2,1,1,1,2,2,2,1
83,1,2,1,1,1,2,2,2,1
70,1,2,1,1,2,2,2,2,2
3,1,2,1,1,2,1,4,2,2
103,1,2,1,1,3,1,1,2,2
4,5,3,2,2,2,2,3,2,3
40,5,3,2,2,1,1,1,1,1
106,4,1,3,1,2,1,2,1,3
102,5,4,1,2,2,3,3,2,2
40,5,4,1,2,1,1,1,2,1
102,5,4,1,2,2,2,2,4,1
102,5,4,1,2,1,3,3,3,1
40,5,4,1,2,2,2,1,1,1
119,5,4,1,2,2,2,3,3,1
102,5,4,1,2,1,1,2,2,1
40,5,4,1,2,1,1,1,1,1
40,5,4,1,2,2,1,2,2,2
40,5,4,1,2,3,3,3,3,2
40,5,4,1,2,2,2,3,4,2
40,5,4,1,2,2,2,2,2,2
42,5,4,1,2,2,1,1,1,2
119,5,4,1,2,3,2,2,2,2
4,5,4,1,2,2,2,2,1,2
72,5,1,2,2,1,1,1,2,1
40,5,1,2,2,2,2,4,4,2
119,5,1,2,2,1,1,3,2,2
102,5,1,2,2,2,2,3,3,2
102,5,1,2,2,2,1,4,3,2
81,2,2,1,1,3,1,3,3,3
121,2,2,1,1,1,1,2,3,3
75,2,2,1,1,2,2,2,3,1
121,2,2,1,1,2,1,2,2,2
27,4,2,1,1,3,1,2,2,3
2,4,2,1,1,1,3,3,2,1
58,4,2,1,1,1,1,1,2,1
106,4,2,1,1,3,2,3,3,1
27,4,2,1,1,3,1,1,4,1
130,4,2,1,1,2,1,1,3,2
27,4,2,1,1,3,1,3,2,2
102,5,3,3,1,1,1,2,3,2
26,6,2,1,1,1,1,2,2,1
65,6,2,1,1,3,1,1,1,1
134,6,2,1,1,1,1,2,1,2
57,6,2,1,1,2,2,1,1,2
88,6,2,1,1,3,1,2,2,2
34,2,4,3,1,4,2,2,3,2
119,5,1,3,1,1,3,1,2,1
42,5,1,3,1,2,1,1,1,1
131,3,3,1,1,1,2,3,2,3
111,3,3,1,1,3,3,3,4,1
9,3,3,1,1,3,1,4,4,1
110,3,3,1,1,3,2,1,1,1
35,1,3,1,1,3,3,3,4,4
43,1,3,1,1,1,1,2,4,2
83,1,3,1,1,2,1,1,1,1
22,1,3,1,1,1,1,1,2,1
15,1,3,1,1,1,2,3,1,1
83,1,3,1,1,3,1,1,1,1
35,1,3,1,1,3,1,1,1,1
94,1,3,1,1,2,2,1,2,2
109,1,3,1,1,2,2,4,4,2
112,1,3,1,1,2,3,2,1,2
103,1,3,1,1,1,1,1,1,2
40,5,2,1,1,1,1,2,4,1
40,5,2,1,1,2,1,2,2,1
8,5,2,1,1,2,1,1,1,1
40,5,2,1,1,2,2,2,2,1
72,5,2,1,1,1,1,2,1,1
