"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
61,2,4,1,2,1,2,2,2,2,2
107,6,3,1,2,1,2,3,3,3,3
25,4,2,1,2,1,1,2,2,2,1
102,5,3,1,2,1,1,2,2,2,3
27,4,4,1,2,1,2,2,2,2,3
132,1,3,1,2,1,2,2,3,3,2
52,4,4,2,1,1,2,2,1,2,1
44,4,4,1,2,1,2,2,4,3,3
25,4,1,1,2,1,3,1,3,2,3
40,5,3,2,2,1,2,2,3,3,2
82,6,3,1,2,1,2,4,1,1,2
55,6,4,1,1,1,1,1,1,1,1
132,1,3,1,1,1,2,1,2,1,1
114,1,3,1,1,1,3,2,1,2,1
132,1,4,1,2,1,2,2,4,2,2
40,5,3,3,2,1,2,2,4,4,4
18,4,4,1,1,1,2,2,1,3,1
16,2,3,1,1,1,1,1,1,1,1
102,5,3,1,2,1,1,2,1,2,1
118,4,3,1,1,1,1,1,1,1,1
121,2,3,4,2,1,1,1,4,1,1
81,2,3,2,2,1,2,4,2,3,3
72,5,4,1,1,1,1,4,2,1,2
22,1,3,1,1,1,2,3,3,4,2
4,5,4,4,1,1,2,3,3,3,3
40,5,2,1,2,1,2,2,2,2,3
4,5,4,1,2,1,3,3,3,4,3
121,2,4,1,2,1,2,2,1,2,1
40,5,4,1,2,1,2,3,2,2,1
72,5,3,1,2,1,2,2,1,4,2
114,1,3,1,2,1,1,1,1,2,1
40,5,3,1,1,1,2,2,4,2,1
75,2,4,1,2,1,1,2,3,3,1
96,2,4,1,2,1,3,2,1,2,1
108,1,4,1,1,1,2,3,1,2,2
80,6,4,1,1,1,2,2,2,2,1
96,2,4,1,1,1,3,2,2,2,1
40,5,3,1,1,1,2,2,3,2,1
52,4,3,1,2,1,1,1,1,2,4
3,1,4,1,2,1,2,2,2,2,2
108,1,2,1,1,1,2,1,2,2,2
15,1,4,2,2,1,2,2,1,2,3
134,6,3,1,2,1,1,1,1,1,4
27,4,4,2,2,1,1,4,3,3,1
40,5,3,3,1,1,1,2,1,1,2
56,2,4,2,1,1,3,2,4,4,2
113,1,4,1,2,1,1,4,2,4,1
76,4,4,1,1,1,1,1,1,1,1
83,1,4,1,2,1,2,2,2,3,3
119,5,2,1,1,1,2,2,1,1,4
73,4,3,1,1,1,2,2,2,2,3
125,6,4,1,2,1,2,2,1,2,2
54,4,4,2,1,1,4,4,4,2,2
39,5,4,4,1,1,2,2,3,2,3
68,6,3,1,2,1,2,1,1,1,1
6,3,3,1,2,1,3,2,3,4,3
83,1,4,1,2,1,1,2,3,2,1
26,6,3,1,2,1,2,1,2,1,1
75,2,2,1,1,1,2,2,4,2,1
32,4,3,2,1,1,2,2,3,3,1
94,1,3,1,2,1,2,2,3,1,2
96,2,4,1,1,1,3,2,3,3,2
40,5,4,1,2,1,4,2,3,2,2
103,1,4,1,1,1,2,2,2,1,2
95,4,4,2,2,1,3,4,3,3,4
43,1,4,1,1,1,2,2,2,1,4
102,5,3,1,1,1,2,1,3,3,3
106,4,4,2,2,1,2,4,2,4,2
48,5,2,1,1,1,2,1,1,1,3
118,4,2,1,1,1,1,1,1,2,1
109,1,4,1,1,1,2,2,3,3,1
48,5,4,1,2,1,3,3,4,3,3
25,4,4,1,2,1,2,1,1,2,1
47,3,4,1,1,1,1,1,1,1,1
118,4,4,1,2,1,2,2,4,2,1
80,6,4,2,1,1,3,3,3,2,3
60,4,3,1,2,1,1,1,1,1,1
57,6,4,1,1,1,2,3,3,3,3
119,5,4,1,1,1,2,2,4,4,2
130,4,4,1,2,1,1,2,1,1,1
118,4,4,1,2,1,3,1,1,2,2
27,4,4,2,1,1,2,2,2,2,1
102,5,3,1,1,1,2,1,2,2,2
26,6,4,2,2,1,2,2,1,2,1
11,2,4,1,2,1,1,2,2,1,1
61,2,4,2,1,1,2,2,3,3,1
32,4,3,1,2,1,2,2,1,1,2
63,4,4,1,1,1,1,1,1,1,1
125,6,1,1,2,1,1,1,1,1,1
61,2,3,1,2,1,1,1,1,1,1
2,4,4,2,2,1,1,2,2,2,2
2,4,4,1,2,1,2,2,4,4,3
46,2,4,1,2,1,3,2,3,3,2
87,6,4,1,1,1,2,4,1,2,1
132,1,3,1,1,1,2,1,2,2,3
102,5,4,1,2,1,2,2,3,2,2
107,6,4,2,2,1,2,4,2,2,2
4,5,2,1,1,1,2,2,2,3,1
124,1,4,1,2,1,3,2,2,3,3
77,5,4,1,1,1,1,1,4,2,1
40,5,3,1,2,1,1,3,1,1,1
127,1,3,1,1,1,2,2,3,3,1
110,3,4,1,2,1,2,1,2,1,3
102,5,3,3,1,1,2,2,1,3,1
116,1,4,1,1,1,2,2,1,1,1
60,4,4,1,2,1,1,2,2,2,4
11,2,3,1,2,1,1,2,2,2,1
24,2,4,1,1,1,2,2,2,2,1
35,1,2,1,1,1,1,2,4,2,3
14,1,3,1,1,1,1,2,2,2,1
109,1,4,1,1,1,2,1,1,1,1
102,5,4,1,2,1,1,1,1,1,1
46,2,3,1,2,1,2,3,1,1,1
72,5,3,1,2,1,1,1,1,1,2
