"Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM","COUNTY_PY","REGION_PY","GENDER_RECODE","RACE_RECODE","AGE_RECODE"
1,2,2,2,1,1,60,4,2,1,3
2,2,2,2,2,2,106,4,2,1,3
2,3,2,2,1,2,106,4,2,1,3
2,2,3,3,3,2,106,4,2,1,3
2,1,2,1,1,1,99,4,2,1,3
1,2,3,3,2,2,58,4,2,1,3
1,2,1,1,1,1,27,4,2,1,3
2,3,3,2,2,2,58,4,2,1,3
2,1,1,2,3,2,58,4,2,1,3
1,3,1,3,3,1,60,4,2,1,3
2,1,2,1,1,1,58,4,2,1,3
1,3,1,2,2,3,5,4,2,1,3
1,2,2,1,1,2,54,4,2,1,3
2,1,2,1,2,2,2,4,2,1,3
1,2,1,2,3,1,27,4,1,2,3
1,2,1,3,3,1,60,4,1,2,3
1,2,1,2,2,2,106,4,1,2,3
1,1,1,2,3,2,58,4,1,2,3
1,1,1,1,1,1,2,4,1,2,3
2,1,2,2,1,3,27,4,2,2,3
1,2,3,2,2,3,106,4,2,2,3
2,2,2,2,2,1,106,4,2,2,3
2,3,1,2,2,3,106,4,2,2,3
1,1,1,2,1,3,106,4,2,2,3
1,2,2,3,2,1,106,4,2,2,3
1,1,2,1,1,1,106,4,2,2,3
1,2,2,1,1,1,60,4,1,3,3
2,3,2,2,1,3,58,4,1,3,3
1,2,3,3,3,3,60,4,1,3,3
2,3,3,3,2,2,130,4,2,3,3
1,2,3,3,3,3,27,4,1,4,3
2,1,2,1,1,1,2,4,1,4,3
2,1,2,1,2,1,118,4,1,4,3
2,1,1,3,2,2,106,4,2,4,3
1,3,2,2,2,3,27,4,2,4,3
2,2,1,2,2,2,60,4,1,1,2
2,1,1,1,2,1,60,4,1,1,2
2,1,1,2,1,1,58,4,1,1,2
2,1,1,1,1,1,58,4,1,1,2
2,2,1,2,2,1,60,4,2,1,2
2,3,3,3,1,1,58,4,2,1,2
1,3,3,3,3,3,73,4,2,1,2
2,1,1,1,1,1,76,4,2,1,2
2,1,1,1,1,1,118,4,2,1,2
2,3,1,1,1,3,63,4,1,2,2
2,2,3,2,2,2,95,4,1,2,2
1,1,1,2,3,1,27,4,1,2,2
1,2,1,2,3,1,60,4,1,2,2
2,1,1,1,1,1,106,4,1,2,2
1,3,1,1,2,1,60,4,2,2,2
1,2,2,2,2,2,106,4,2,2,2
1,2,2,2,2,2,58,4,1,3,2
2,3,2,2,1,2,60,4,1,4,2
3,1,2,2,3,1,18,4,1,1,1
2,3,1,1,1,1,63,4,1,1,1
2,1,1,1,1,1,27,4,1,1,1
1,1,1,1,1,1,27,4,1,1,1
2,3,1,1,1,2,27,4,1,1,1
1,3,1,1,1,1,27,4,1,1,1
2,2,3,2,2,2,27,4,1,1,1
2,3,1,2,2,1,118,4,1,1,1
3,1,2,2,3,3,84,4,2,1,1
1,1,2,2,2,1,29,4,2,1,1
2,1,2,2,2,1,58,4,2,1,1
1,3,2,3,2,3,58,4,2,1,1
1,2,2,1,2,2,2,4,2,1,1
2,3,3,2,3,3,63,4,1,2,1
1,1,1,2,3,1,106,4,1,2,1
1,1,1,2,2,1,130,4,2,2,1
1,2,1,3,2,1,95,4,2,3,1
1,1,2,3,3,3,73,4,1,4,1
2,3,1,2,2,1,27,4,2,4,1
1,3,1,3,2,2,8,5,1,1,4
1,1,1,1,3,1,8,5,1,1,4
1,2,2,2,1,3,40,5,1,1,4
2,1,1,2,1,1,40,5,1,1,4
1,2,2,2,2,1,40,5,1,1,4
2,1,1,1,1,1,40,5,1,1,4
2,2,2,2,1,2,72,5,1,1,4
1,1,1,1,3,1,40,5,1,1,4
1,2,1,1,1,1,72,5,1,1,4
1,1,1,1,1,1,72,5,1,1,4
1,1,2,1,1,1,119,5,2,1,4
2,2,2,2,2,1,48,5,2,1,4
2,2,2,3,2,2,40,5,2,1,4
1,1,1,1,1,1,40,5,2,1,4
1,1,2,2,3,1,40,5,2,1,4
2,1,1,1,1,1,40,5,2,1,4
1,2,2,3,3,3,41,5,2,1,4
1,3,3,3,3,3,40,5,2,1,4
2,2,2,3,3,3,72,5,2,1,4
2,1,1,1,1,1,72,5,2,1,4
1,3,2,1,2,1,4,5,2,2,4
1,2,2,3,3,2,8,5,2,2,4
1,3,3,3,2,3,40,5,2,2,4
1,1,1,1,1,1,40,5,1,3,4
1,2,2,2,2,2,40,5,2,3,4
1,1,2,1,3,2,72,5,2,3,4
2,1,1,1,1,1,4,5,1,1,3
2,1,1,2,1,1,8,5,1,1,3
2,1,1,1,2,1,102,5,1,1,3
2,2,3,3,3,3,40,5,1,1,3
2,1,1,1,2,1,72,5,1,1,3
2,1,1,1,1,1,4,5,2,1,3
1,3,2,3,3,2,40,5,2,1,3
2,2,2,3,3,2,8,5,2,1,3
2,2,1,2,2,2,102,5,2,1,3
1,2,2,2,3,1,40,5,2,1,3
1,2,2,2,3,3,40,5,2,1,3
1,2,2,1,1,2,40,5,2,1,3
2,1,2,2,2,2,41,5,2,1,3
1,3,2,3,3,3,40,5,2,1,3
2,1,2,1,2,1,40,5,2,1,3
1,2,2,2,3,3,40,5,2,1,3
2,3,3,2,3,1,42,5,2,1,3
2,2,2,3,2,2,72,5,2,1,3
1,1,1,1,1,2,102,5,2,1,3
1,1,2,3,3,3,72,5,2,1,3
1,2,1,1,2,2,102,5,2,1,3
1,1,1,2,1,2,40,5,1,2,3
2,3,3,2,1,3,40,5,1,2,3
1,2,1,3,3,2,102,5,2,2,3
1,1,1,2,2,2,102,5,2,2,3
2,2,3,3,2,3,72,5,1,3,3
2,3,2,3,2,2,102,5,2,3,3
2,3,3,3,2,3,40,5,2,3,3
1,3,2,3,3,2,40,5,2,3,3
1,1,1,3,3,3,72,5,2,3,3
1,2,2,3,2,1,40,5,1,4,3
1,3,3,2,2,2,8,5,1,4,3
2,2,2,2,3,1,102,5,1,4,3
2,1,1,1,1,2,119,5,2,4,3
1,1,1,1,1,1,40,5,2,4,3
2,2,3,2,3,3,102,5,2,4,3
2,2,2,2,1,2,40,5,1,1,2
2,3,3,3,2,3,40,5,1,1,2
1,2,2,2,2,2,72,5,1,1,2
1,2,2,2,3,2,119,5,2,1,2
2,1,1,1,1,1,4,5,2,1,2
1,2,2,2,2,2,102,5,2,1,2
2,2,2,2,3,1,102,5,2,1,2
2,3,2,1,2,3,102,5,2,1,2
1,2,2,1,1,1,40,5,2,1,2
1,1,1,1,2,1,72,5,2,1,2
1,2,2,2,1,1,102,5,1,2,2
2,3,1,2,1,3,48,5,2,2,2
1,2,1,3,3,2,102,5,2,2,2
1,1,2,3,3,2,72,5,2,2,2
1,2,3,3,2,2,102,5,2,2,2
1,1,2,1,2,1,102,5,2,2,2
2,1,1,2,2,3,72,5,1,3,2
2,2,1,2,2,3,40,5,1,3,2
1,1,1,2,2,3,40,5,2,3,2
2,3,3,3,2,3,102,5,2,3,2
1,1,1,1,1,1,40,5,1,4,2
2,2,1,2,3,1,40,5,2,4,2
1,2,2,2,3,3,8,5,2,4,2
2,2,2,2,3,3,40,5,2,4,2
1,1,1,1,1,1,8,5,1,1,1
1,2,1,1,1,1,102,5,1,1,1
2,2,2,3,3,1,40,5,1,1,1
1,2,1,3,2,1,8,5,2,1,1
1,2,2,2,1,1,102,5,2,1,1
2,1,1,1,1,1,72,5,1,2,1
1,3,1,2,1,2,40,5,2,2,1
2,1,2,2,2,2,72,5,1,3,1
2,3,3,3,2,2,8,5,2,3,1
2,2,2,2,3,2,102,5,2,3,1
1,2,1,2,2,1,97,6,1,1,4
2,2,1,1,2,2,125,6,1,1,4
1,2,2,1,2,1,88,6,1,1,4
1,1,1,1,1,1,1,6,1,1,4
1,2,1,1,1,1,26,6,1,1,4
1,1,1,1,1,2,23,6,1,1,4
1,2,1,1,1,2,45,6,2,1,4
2,2,2,3,2,2,97,6,2,1,4
2,2,2,2,3,2,125,6,2,1,4
1,3,2,1,2,3,26,6,2,1,4
1,1,2,2,2,2,26,6,2,1,4
1,3,2,2,1,2,26,6,2,1,4
1,1,1,1,1,2,65,6,2,1,4
1,2,2,3,2,2,89,6,2,1,4
1,3,1,2,2,2,98,6,1,2,4
2,2,2,3,3,3,57,6,1,2,4
2,2,2,3,2,1,87,6,1,2,4
1,1,1,1,1,1,87,6,1,2,4
2,1,2,1,1,1,125,6,1,2,4
1,1,1,2,3,1,26,6,1,2,4
1,2,2,1,1,1,87,6,2,2,4
1,1,1,2,2,1,82,6,2,2,4
2,2,2,3,2,1,89,6,2,2,4
2,3,3,3,1,2,68,6,1,3,4
1,3,3,3,2,2,57,6,1,4,4
