"COUNTY_PY","REGION_PY","AGE_RECODE","RACE_RECODE","GENDER_RECODE","Phone","YEARAGO","NEXTYEAR","BUSNXTYR","FIVEYEAR","BIGITEM"
113,1,4,2,2,1,1,2,3,2,1
60,4,4,2,1,1,2,3,3,2,2
106,4,2,1,1,1,2,2,2,2,2
102,5,4,2,1,1,3,2,3,3,2
26,6,4,1,2,1,2,2,2,4,1
87,6,4,1,1,1,3,4,4,4,2
56,2,1,1,2,1,1,1,1,1,1
116,1,3,1,1,1,2,2,3,4,3
61,2,4,2,2,1,2,2,2,2,1
56,2,4,1,1,1,1,1,1,1,1
71,3,3,1,1,1,2,2,2,2,1
125,6,4,1,2,1,2,2,3,2,1
40,5,4,1,1,1,1,1,1,1,1
101,6,2,1,1,1,1,1,2,3,1
2,4,2,1,2,1,2,2,1,1,1
26,6,2,1,2,1,3,2,3,1,1
101,6,3,1,1,1,1,1,1,1,1
60,4,2,1,2,1,2,1,1,1,2
48,5,4,1,2,1,2,2,3,3,1
108,1,4,1,1,1,1,1,2,1,1
26,6,3,4,1,1,2,1,1,1,1
40,5,3,1,2,1,1,3,2,1,1
2,4,4,1,2,1,3,2,2,2,1
27,4,3,1,1,1,2,1,2,1,1
40,5,3,3,1,1,2,4,4,1,3
60,4,3,1,1,1,1,2,2,1,1
40,5,4,1,1,1,2,2,2,2,1
113,1,3,1,2,1,3,1,1,2,3
53,1,3,2,2,1,3,2,1,1,2
65,6,3,1,2,1,2,2,1,1,1
40,5,3,1,1,1,2,2,3,2,1
4,5,2,2,1,1,1,3,1,2,1
40,5,3,1,2,1,1,1,1,1,1
40,5,3,1,2,1,2,3,3,4,2
11,2,4,1,2,1,1,1,1,2,1
40,5,4,2,1,1,2,2,3,2,1
21,4,3,1,1,1,1,1,1,1,1
4,5,2,1,1,1,2,2,2,1,1
114,1,3,1,1,1,1,2,1,2,1
27,4,3,1,2,1,2,3,1,1,1
40,5,3,1,2,1,3,1,4,1,1
1,6,4,1,1,1,1,1,1,1,1
32,4,4,1,2,1,1,2,3,3,1
46,2,4,1,1,1,2,2,1,1,1
27,4,3,1,1,1,1,1,1,1,1
102,5,3,1,1,1,1,2,2,3,1
36,2,4,2,2,1,3,2,3,3,2
4,5,4,1,1,1,1,1,1,2,1
125,6,5,4,1,1,3,2,2,4,1
40,5,2,3,2,1,3,3,2,3,3
32,4,3,3,1,1,2,4,3,2,2
27,4,4,1,1,1,1,2,1,1,1
103,1,3,1,2,1,3,2,2,1,1
60,4,2,1,1,1,1,1,2,1,2
58,4,4,1,1,1,2,2,4,4,1
96,2,4,1,2,1,2,2,1,1,2
57,6,4,4,2,1,2,2,3,4,1
47,3,4,1,1,1,1,1,1,1,2
60,4,4,1,1,1,2,2,1,1,1
58,4,2,1,2,1,2,1,1,3,1
72,5,3,3,1,1,2,1,4,1,1
133,1,4,1,2,1,2,1,1,3,1
2,4,4,1,2,1,1,2,2,2,1
125,6,2,1,1,1,2,2,3,2,1
27,4,2,3,1,1,1,1,2,3,2
7,4,4,1,2,1,2,2,2,4,1
8,5,4,1,2,1,2,2,2,4,4
40,5,3,3,1,1,1,1,1,1,2
106,4,4,2,2,1,3,1,2,2,4
14,1,3,1,1,1,1,2,2,2,1
127,1,3,1,2,1,1,3,3,3,3
125,6,3,3,2,1,3,2,4,3,2
27,4,4,1,2,1,2,2,1,1,1
54,4,1,1,2,1,4,1,1,1,1
53,1,3,1,2,1,2,1,3,2,4
61,2,4,1,2,1,2,4,1,1,2
25,4,3,1,2,1,1,1,1,1,1
125,6,3,1,2,1,3,3,2,2,2
14,1,3,1,1,1,1,1,1,1,1
17,1,3,1,1,1,2,2,1,1,1
51,6,3,1,2,1,2,2,4,4,2
8,5,2,1,2,1,2,2,2,2,2
118,4,3,1,2,1,2,2,1,2,2
61,2,4,1,1,1,2,2,1,1,1
11,2,4,1,2,1,3,2,1,1,1
72,5,3,1,2,1,3,1,2,4,2
59,3,1,2,1,1,1,1,1,1,1
3,1,3,1,1,1,1,2,1,1,1
89,6,4,1,2,1,3,4,2,3,2
72,5,4,1,2,1,3,2,1,2,4
92,4,3,3,2,1,3,1,1,1,2
11,2,4,1,1,1,2,2,1,1,1
101,6,1,1,1,1,1,1,1,4,1
132,1,4,1,1,1,3,3,3,3,2
61,2,3,1,2,1,2,2,2,3,1
65,6,4,1,2,1,1,1,1,1,1
27,4,3,3,1,1,1,1,1,1,1
94,1,3,1,2,1,2,1,1,1,3
125,6,4,1,2,1,2,2,2,2,1
58,4,4,1,2,1,2,2,1,2,1
106,4,3,1,1,1,1,3,3,3,2
40,5,4,3,2,1,2,2,1,1,4
61,2,4,1,2,1,2,3,1,1,1
106,4,4,1,1,1,1,2,1,4,1
106,4,3,1,2,1,2,2,1,1,1
106,4,4,1,2,1,2,2,4,4,2
118,4,2,1,2,1,1,2,1,1,1
87,6,3,1,1,1,2,2,3,3,1
87,6,3,1,1,1,1,2,1,2,1
11,2,4,1,2,1,2,2,3,2,1
64,6,4,1,2,1,1,1,2,1,1
86,6,4,1,2,1,2,2,3,1,1
83,1,2,1,1,1,3,2,2,3,1
106,4,4,2,2,1,1,2,2,3,1
87,6,3,2,1,1,1,1,1,4,1
40,5,3,1,1,1,2,2,2,3,2
118,4,4,1,1,1,3,1,1,1,1
25,4,3,1,2,1,2,2,3,2,2
103,1,4,1,1,1,2,2,1,1,1
4,5,4,1,1,1,2,2,2,1,1
2,4,4,1,2,1,2,2,3,3,1
29,4,4,1,1,1,3,1,3,3,3
39,5,1,3,1,1,1,1,4,3,2
3,1,4,1,2,1,2,2,2,2,2
125,6,4,1,1,1,2,3,3,3,2
96,2,4,1,1,1,1,1,1,1,1
127,1,3,1,1,1,1,2,1,2,1
27,4,4,1,2,1,1,2,2,1,2
57,6,4,1,2,1,1,1,1,1,1
102,5,4,1,2,1,2,2,2,2,1
40,5,3,1,1,1,1,1,1,1,1
26,6,4,1,1,1,3,3,2,2,1
60,4,4,1,2,1,1,4,1,1,1
111,3,4,1,2,1,2,1,1,1,1
125,6,2,2,1,1,2,1,1,1,2
26,6,3,1,2,1,1,2,3,3,2
22,1,4,1,2,1,3,2,1,1,1
113,1,3,1,1,1,1,1,1,1,1
108,1,4,2,2,1,2,1,1,1,3
4,5,4,1,1,1,2,3,3,2,2
82,6,4,1,1,1,2,2,4,2,4
40,5,2,1,1,1,1,1,1,1,1
57,6,4,1,2,1,4,4,3,2,1
87,6,4,2,1,1,3,3,1,3,4
106,4,4,1,2,1,2,2,1,1,1
106,4,4,4,2,1,3,3,4,2,4
106,4,4,1,1,1,1,1,1,1,1
40,5,3,1,1,1,1,1,1,1,1
57,6,4,2,1,1,2,3,3,2,2
60,4,1,1,1,1,1,2,2,1,1
106,4,3,1,2,1,1,1,1,1,1
102,5,3,1,2,1,2,2,3,3,1
40,5,3,1,2,1,2,2,2,2,2
83,1,4,1,2,1,2,2,4,2,2
40,5,3,1,1,1,1,1,1,1,1
134,6,3,3,2,1,1,1,2,1,4
87,6,3,2,2,1,2,1,2,2,3
99,4,3,2,1,1,2,1,3,3,1
57,6,3,1,1,1,1,2,1,1,1
66,6,2,1,2,1,1,1,1,1,2
51,6,4,1,2,1,1,2,4,2,3
125,6,1,1,2,1,2,2,2,3,1
40,5,1,2,1,1,1,1,2,1,4
44,4,4,1,1,1,2,2,3,3,1
92,4,4,1,2,1,2,2,1,1,4
95,4,3,2,1,1,2,1,1,2,1
58,4,4,1,1,1,2,4,4,1,4
132,1,1,1,1,1,1,2,3,2,1
27,4,4,2,2,1,2,2,2,2,2
32,4,3,2,2,1,2,2,3,3,2
60,4,3,3,2,1,2,2,2,2,2
125,6,3,1,2,1,1,2,2,3,3
76,4,3,1,2,1,2,3,2,3,1
40,5,3,1,2,1,3,3,3,3,2
40,5,4,1,1,1,2,4,4,1,1
42,5,1,1,2,1,2,2,4,1,1
40,5,4,1,2,1,1,1,1,1,1
40,5,2,1,2,1,1,1,2,1,1
125,6,4,1,1,1,3,3,3,3,1
121,2,4,2,2,1,1,2,1,3,3
40,5,3,1,1,1,2,2,3,3,1
110,3,3,1,2,1,2,1,2,2,1
44,4,3,3,2,1,2,1,3,3,2
40,5,4,1,2,1,2,4,4,2,2
102,5,3,1,1,1,2,2,2,2,1
117,2,3,1,2,1,2,2,1,2,1
130,4,4,1,1,1,2,1,4,2,4
120,3,4,1,2,1,2,2,2,1,4
72,5,3,1,2,1,1,2,2,3,3
57,6,4,4,2,1,1,2,1,1,2
125,6,3,4,2,1,2,2,2,3,2
41,5,3,1,2,1,4,4,3,3,4
57,6,4,2,2,1,2,1,2,2,2
40,5,4,1,1,1,2,3,3,3,1
57,6,3,1,1,1,1,2,3,3,1
98,6,4,1,2,1,2,1,4,2,2
99,4,1,1,2,1,3,1,4,1,2
27,4,4,1,1,1,1,2,1,1,1
96,2,3,1,2,1,1,2,2,2,1
27,4,4,1,2,1,1,1,1,1,1
65,6,4,1,2,1,2,2,1,2,1
63,4,3,1,1,1,3,1,3,4,1
26,6,4,1,2,1,2,2,2,2,4
27,4,4,1,2,1,1,1,1,1,1
32,4,4,1,1,1,1,2,1,1,1
60,4,4,1,1,1,2,3,1,2,2
40,5,3,1,2,1,2,2,2,2,2
72,5,2,1,2,1,3,3,2,3,3
85,6,4,1,2,1,2,2,3,2,1
4,5,4,1,2,1,3,2,4,3,2
40,5,4,1,2,1,2,2,1,2,1
131,3,3,1,1,1,1,1,1,2,2
119,5,4,1,2,1,2,2,1,2,4
77,5,3,1,1,1,1,1,1,1,1
86,6,3,2,2,1,2,1,4,3,4
72,5,3,1,1,1,2,3,3,3,1
68,6,3,1,1,1,1,1,1,1,1
102,5,3,1,2,1,3,2,3,3,3
111,3,4,1,2,1,3,2,2,1,1
40,5,3,1,1,1,3,2,3,3,3
77,5,3,3,1,1,3,4,4,1,1
54,4,4,1,2,1,2,2,1,2,1
128,3,3,1,1,1,2,2,2,2,2
40,5,4,1,1,1,1,1,1,1,1
57,6,3,2,1,1,1,4,1,2,4
125,6,4,1,1,1,3,3,3,2,3
